ID,RInbound,RTravTime1,RTravTime2,outbound,shopfreq,satorsun,depmam,outdepmam,depmam_r,outdepmam_r,Duration,BegPurp2,EndPurp2,BegSta_lat,BegStat_lon,Endstat_lat,Endstat_lon
338,1,10,10,2,3,0,476,1180,8,20,11,home,work,40.911605,-73.783807,40.752998,-73.977056
309,1,5,10,2,2,0,359,1048,6,18,11,home,work,41.069041,-73.49788,40.752998,-73.977056
320,1,10,5,2,1,0,347,1064,6,18,11,home,work,41.118928,-73.371413,40.752998,-73.977056
250,1,5,25,1,3,0,454,1051,8,18,9,home,leisure,41.049806,-73.773142,40.752998,-73.977056
258,1,5,10,1,4,0,1058,449,18,8,9,work,home,40.985922,-73.682553,40.752998,-73.977056
360,1,10,15,1,4,0,417,1070,7,18,10,home,work,41.38178,-73.947202,40.752998,-73.977056
372,1,25,15,1,3,0,1265,423,22,8,13,home,work,40.912161,-73.832185,41.046611,-73.542846
378,2,20,5,1,2,0,753,967,13,17,3,home,leisure,41.118928,-73.371413,40.752998,-73.977056
404,1,30,10,2,1,0,383,1037,7,18,10,home,work,41.296501,-72.92829,41.021277,-73.624621
410,1,10,15,2,3,0,358,1095,6,19,12,home,work,41.021277,-73.624621,40.752998,-73.977056
464,1,20,20,2,4,0,418,1043,7,18,10,home,work,41.178677,-73.187076,40.752998,-73.977056
471,1,10,25,2,4,0,459,1012,8,17,8,home,work,40.910321,-73.810242,40.752998,-73.977056
476,1,10,5,2,3,0,445,1077,8,18,9,home,school,40.969432,-73.712964,40.8615,-73.89058
584,1,15,15,2,3,0,407,1070,7,18,10,home,work,41.705839,-73.937946,40.752998,-73.977056
585,1,15,20,2,4,0,476,1053,8,18,9,home,work,40.911605,-73.783807,40.752998,-73.977056
850,1,10,5,1,4,0,316,969,6,17,10,home,work,41.237316,-73.699936,40.752998,-73.977056
852,1,25,5,1,2,0,294,946,5,16,10,home,work,41.413203,-73.623787,40.752998,-73.977056
1022,1,8,5,1,4,0,320,1043,6,18,11,home,work,41.118928,-73.371413,40.752998,-73.977056
1075,1,10,15,1,4,0,333,1151,6,20,13,home,work,41.076913,-73.472966,40.752998,-73.977056
1095,1,5,15,1,4,0,336,1151,6,20,13,home,work,41.069041,-73.49788,40.752998,-73.977056
1177,1,15,30,1,4,0,282,1036,5,18,12,home,work,41.296501,-72.92829,40.752998,-73.977056
1246,1,2,75,1,4,0,662,960,12,17,4,home,leisure,40.92699,-73.83948,40.8615,-73.89058
1716,1,3,5,1,4,0,323,1021,6,18,11,home,work,41.103996,-73.404588,40.752998,-73.977056
1718,1,7,5,1,2,0,320,1110,6,19,12,home,work,41.118928,-73.371413,40.752998,-73.977056
2242,1,30,15,1,3,0,439,1110,8,19,10,home,work,41.118928,-73.371413,40.752998,-73.977056
2269,1,10,17,1,2,0,428,1043,8,18,9,home,work,41.143077,-73.257742,40.752998,-73.977056
